resource_id,resource_type,action,risk_level,waste_score,recommendation,estimated_savings,monthly_cost,annual_cost,risk_score,risk_explanation,execution_steps,business_justification,technical_justification,expected_outcome
res-healthy-001,healthy,ignore,low,5.8,Safe To Remediate,0.0,409.73,4916.76,30,"This resource, res-healthy-001, is classified with a low FinOps risk level (score 30) primarily due to its low waste score of 5.8 and a low waste probability. Despite being marked as business critical, the presence of an owner and recent activity within 24 days suggest it is actively managed, further mitigating immediate FinOps concerns. Its moderate monthly cost of $409.73, combined with these factors, indicates a healthy operational state from a FinOps perspective.",No action required | Continue monitoring | Re-evaluate on next assessment cycle,"Deferring remediation on this resource is expected to recover approximately $0.00 annually. Risk analysis indicates low operational risk (Safe To Remediate), with a waste score of 5.8.","The predetermined action 'ignore' follows the Planner rules engine based on resource type 'healthy', risk level 'low', and waste score 5.8. Execution will follow the defined step sequence with verification gates.",No changes will be made; the resource remains under monitoring due to high operational risk or insufficient waste signal.
res-healthy-002,healthy,ignore,low,7.2,Safe To Remediate,0.0,447.67,5372.04,5,"Resource res-healthy-002 has a predetermined risk score of 5 (low risk) due to: load balancer attachment, identified resource owner. Although the waste score is 7.2 with low waste probability, infrastructure dependencies may affect remediation safety.",No action required | Continue monitoring | Re-evaluate on next assessment cycle,"Deferring remediation on this resource is expected to recover approximately $0.00 annually. Risk analysis indicates low operational risk (Safe To Remediate), with a waste score of 7.2.","The predetermined action 'ignore' follows the Planner rules engine based on resource type 'healthy', risk level 'low', and waste score 7.2. Execution will follow the defined step sequence with verification gates.",No changes will be made; the resource remains under monitoring due to high operational risk or insufficient waste signal.
res-healthy-003,healthy,ignore,low,6.5,Safe To Remediate,0.0,365.52,4386.24,0,"This resource, res-healthy-003, exhibits a low risk level (Risk Score: 0) primarily because it is not business-critical, resides in a development environment, and is not part of a load balancer or auto-scaling group. Despite a moderate waste score of 6.5, its waste probability is low, and an owner exists with recent activity within 5 days. These factors collectively indicate a minimal operational impact if changes are made.",No action required | Continue monitoring | Re-evaluate on next assessment cycle,"Deferring remediation on this resource is expected to recover approximately $0.00 annually. Risk analysis indicates low operational risk (Safe To Remediate), with a waste score of 6.5.","The predetermined action 'ignore' follows the Planner rules engine based on resource type 'healthy', risk level 'low', and waste score 6.5. Execution will follow the defined step sequence with verification gates.",No changes will be made; the resource remains under monitoring due to high operational risk or insufficient waste signal.
res-healthy-004,healthy,manual_review,medium,8.0,Manual Review Required,1498.98,499.66,5995.92,50,"This resource has a medium risk level primarily due to its presence in a production environment and a moderate monthly cost of $499.66. While its waste probability is low and waste score is 8.0, indicating some inefficiency, its active status (25 days recent activity) and non-critical nature (not business critical, not attached to a load balancer, not in an auto-scaling group) prevent a higher risk classification. The combination of moderate cost in production with some waste, balanced by its non-criticality and active use, results in a medium risk score.",Flag resource for manual review | Notify stakeholders | Await approval decision,"Flagging this resource for manual review is expected to recover approximately $1,498.98 annually. Risk analysis indicates medium operational risk (Manual Review Required), with a waste score of 8.0.","The predetermined action 'manual_review' follows the Planner rules engine based on resource type 'healthy', risk level 'medium', and waste score 8.0. Execution will follow the defined step sequence with verification gates.",Resource will be queued for stakeholder review before any infrastructure changes are executed.
res-healthy-005,healthy,ignore,low,7.4,Safe To Remediate,0.0,194.82,2337.84,20,"This resource, res-healthy-005, is assigned a low risk level (score 20) primarily due to its non-business-critical nature and presence within a development environment. Despite a waste score of 7.4 and a monthly cost of $194.82, its low waste probability and membership in an Auto Scaling Group indicate it's part of a managed, potentially elastic workload. The existence of an owner and recent activity further contribute to its low overall risk profile.",No action required | Continue monitoring | Re-evaluate on next assessment cycle,"Deferring remediation on this resource is expected to recover approximately $0.00 annually. Risk analysis indicates low operational risk (Safe To Remediate), with a waste score of 7.4.","The predetermined action 'ignore' follows the Planner rules engine based on resource type 'healthy', risk level 'low', and waste score 7.4. Execution will follow the defined step sequence with verification gates.",No changes will be made; the resource remains under monitoring due to high operational risk or insufficient waste signal.
res-healthy-006,healthy,manual_review,medium,8.4,Manual Review Required,749.28,249.77,2997.24,50,"Resource res-healthy-006 has a predetermined risk score of 50 (medium risk) due to: production environment, recent activity (2 days ago), identified resource owner. Although the waste score is 8.4 with low waste probability, infrastructure dependencies may affect remediation safety.",Flag resource for manual review | Notify stakeholders | Await approval decision,"Flagging this resource for manual review is expected to recover approximately $749.28 annually. Risk analysis indicates medium operational risk (Manual Review Required), with a waste score of 8.4.","The predetermined action 'manual_review' follows the Planner rules engine based on resource type 'healthy', risk level 'medium', and waste score 8.4. Execution will follow the defined step sequence with verification gates.",Resource will be queued for stakeholder review before any infrastructure changes are executed.
res-healthy-007,healthy,ignore,high,9.3,Do Not Remediate,0.0,269.71,3236.52,85,"Resource res-healthy-007 has a predetermined risk score of 85 (high risk) due to: production environment, Auto Scaling Group membership, load balancer attachment, recent activity (15 days ago), identified resource owner. Although the waste score is 9.3 with low waste probability, infrastructure dependencies may affect remediation safety.",No action required | Continue monitoring | Re-evaluate on next assessment cycle,"Deferring remediation on this resource is expected to recover approximately $0.00 annually. Risk analysis indicates high operational risk (Do Not Remediate), with a waste score of 9.3.","The predetermined action 'ignore' follows the Planner rules engine based on resource type 'healthy', risk level 'high', and waste score 9.3. Execution will follow the defined step sequence with verification gates.",No changes will be made; the resource remains under monitoring due to high operational risk or insufficient waste signal.
res-healthy-008,healthy,ignore,low,9.3,Safe To Remediate,0.0,314.57,3774.84,30,"Resource res-healthy-008 has a predetermined risk score of 30 (low risk) due to: business-critical designation, recent activity (10 days ago), identified resource owner. Although the waste score is 9.3 with low waste probability, infrastructure dependencies may affect remediation safety.",No action required | Continue monitoring | Re-evaluate on next assessment cycle,"Deferring remediation on this resource is expected to recover approximately $0.00 annually. Risk analysis indicates low operational risk (Safe To Remediate), with a waste score of 9.3.","The predetermined action 'ignore' follows the Planner rules engine based on resource type 'healthy', risk level 'low', and waste score 9.3. Execution will follow the defined step sequence with verification gates.",No changes will be made; the resource remains under monitoring due to high operational risk or insufficient waste signal.
res-healthy-009,healthy,ignore,low,9.3,Safe To Remediate,0.0,496.09,5953.08,35,"Resource res-healthy-009 has a predetermined risk score of 35 (low risk) due to: Auto Scaling Group membership, load balancer attachment, recent activity (29 days ago), identified resource owner. Although the waste score is 9.3 with low waste probability, infrastructure dependencies may affect remediation safety.",No action required | Continue monitoring | Re-evaluate on next assessment cycle,"Deferring remediation on this resource is expected to recover approximately $0.00 annually. Risk analysis indicates low operational risk (Safe To Remediate), with a waste score of 9.3.","The predetermined action 'ignore' follows the Planner rules engine based on resource type 'healthy', risk level 'low', and waste score 9.3. Execution will follow the defined step sequence with verification gates.",No changes will be made; the resource remains under monitoring due to high operational risk or insufficient waste signal.
res-healthy-010,healthy,ignore,high,5.6,Do Not Remediate,0.0,170.62,2047.44,80,"Resource res-healthy-010 has a predetermined risk score of 80 (high risk) due to: production environment, business-critical designation, recent activity (7 days ago), identified resource owner. Although the waste score is 5.6 with low waste probability, infrastructure dependencies may affect remediation safety.",No action required | Continue monitoring | Re-evaluate on next assessment cycle,"Deferring remediation on this resource is expected to recover approximately $0.00 annually. Risk analysis indicates high operational risk (Do Not Remediate), with a waste score of 5.6.","The predetermined action 'ignore' follows the Planner rules engine based on resource type 'healthy', risk level 'high', and waste score 5.6. Execution will follow the defined step sequence with verification gates.",No changes will be made; the resource remains under monitoring due to high operational risk or insufficient waste signal.
